Product_ID,Product_Name,Category,Price (INR),Occasion
P001,Holi Mixed Flowers - Deluxe,Flowers,1049,Holi
P002,Birthday Mixed Flowers - Standard,Flowers,808,Birthday
P003,Mother Day Bamboo Plant - Deluxe,Plants,646,Mother Day
P004,Birthday Assorted Sweets - Deluxe,Sweets,1120,Birthday
P005,Diwali Bouquet - Deluxe,Flowers,876,Diwali
P006,Valentine's Day Vanilla Cake - Premium,Cakes,836,Valentine's Day
P007,Christmas Lilies - Premium,Flowers,1035,Christmas
P008,Father Day Black Forest - Premium,Cakes,741,Father Day
P009,All Occasions Money Plant - Standard,Plants,707,All Occasions
P010,Christmas Mug - Standard,Gifts,1404,Christmas
P011,Diwali Mixed Flowers - Premium,Flowers,969,Diwali
P012,Father Day Bouquet - Standard,Flowers,908,Father Day
P013,Father Day Photo Frame - Standard,Gifts,1438,Father Day
P014,All Occasions Mini Teddy - Deluxe,Soft Toys,1116,All Occasions
P015,Diwali Teddy Bear - Standard,Soft Toys,1400,Diwali
P016,Diwali Bamboo Plant - Standard,Plants,653,Diwali
P017,Diwali Chocolate Box - Deluxe,Sweets,1099,Diwali
P018,All Occasions Kaju Katli - Premium,Sweets,971,All Occasions
P019,Anniversary Assorted Sweets - Premium,Sweets,927,Anniversary
P020,Anniversary Luxury Box - Standard,Gifts,1574,Anniversary
P021,Father Day Assorted Sweets - Premium,Sweets,1067,Father Day
P022,Birthday Bamboo Plant - Premium,Plants,751,Birthday
P023,Valentine's Day Mini Teddy - Premium,Soft Toys,1321,Valentine's Day
P024,Diwali Orchid Plant - Deluxe,Plants,694,Diwali
P025,Anniversary Kaju Katli - Standard,Sweets,937,Anniversary
P026,Anniversary Teddy Bear - Premium,Soft Toys,1178,Anniversary
P027,Christmas Giant Teddy - Standard,Soft Toys,1146,Christmas
P028,Birthday Giant Teddy - Premium,Soft Toys,1238,Birthday
P029,Anniversary Chocolate Cake - Standard,Cakes,920,Anniversary
P030,New Year Assorted Sweets - Deluxe,Sweets,1108,New Year
P031,Anniversary Bouquet - Premium,Flowers,1083,Anniversary
P032,Anniversary Assorted Sweets - Standard,Sweets,1049,Anniversary
P033,Christmas Gift Hamper - Deluxe,Gifts,1686,Christmas
P034,Valentine's Day Assorted Sweets - Standard,Sweets,1094,Valentine's Day
P035,Diwali Vanilla Cake - Premium,Cakes,837,Diwali
P036,New Year Chocolate Cake - Standard,Cakes,922,New Year
P037,Raksha Bandhan Photo Frame - Premium,Gifts,1439,Raksha Bandhan
P038,Holi Teddy Bear - Deluxe,Soft Toys,1353,Holi
P039,Father Day Chocolate Box - Premium,Sweets,954,Father Day
P040,Diwali Teddy Bear - Premium,Soft Toys,1270,Diwali
P041,Father Day Photo Frame - Premium,Gifts,1571,Father Day
P042,Christmas Orchid Plant - Standard,Plants,653,Christmas
P043,Holi Assorted Sweets - Standard,Sweets,1145,Holi
P044,Holi Red Velvet - Premium,Cakes,849,Holi
P045,All Occasions Luxury Box - Premium,Gifts,1592,All Occasions
P046,Raksha Bandhan Photo Frame - Standard,Gifts,1688,Raksha Bandhan
P047,Valentine's Day Assorted Sweets - Deluxe,Sweets,1181,Valentine's Day
P048,Birthday Bamboo Plant - Deluxe,Plants,607,Birthday
